Continent,Country,Product,Date,Materials,Product,Volume
Oceania,Tonga,Bananas,2013/03/21,Lst_BUILDING_MATERIALS,glass,32.62
Oceania,American Samoa,Chocolate,2005/12/16,Lst_METALS,GASES,78.94
Oceania,French Polynesia,Rice,2021/09/06,Lst_FABRICS,cloth,92.76
Europe,San Marino,aluminium ,2017/02/13,Lst_METALS,silver,75.46
Asia,United Arab Emirates,Gold,2001/03/19,Lst_FABRICS,wool,94.7
Oceania,Northern Mariana Islands,uranium,2000/07/20,Lst_METALS,silver,32.06
Oceania,Solomon Islands,uranium,2011/12/19,Lst_BUILDING_MATERIALS,stone,85.94
Europe,Svalbard and Jan Mayen,Cocoa beans,2019/07/18,Lst_FABRICS,linen,58.23
Americas,Saint Barth̩lemy,uranium,2016/04/20,Lst_BUILDING_MATERIALS,cement,66.37
Europe,Belarus,bronze  ,2021/02/07,Lst_FABRICS,nylon,69.22
Europe,Montenegro,Jewelry,2003/04/03,Lst_BUILDING_MATERIALS,cement,36.39
Asia,Malaysia,Jewelry,2016/10/18,Lst_METALS,brass,79.36
Africa,Sierra Leone,iron,2021/10/04,Lst_FABRICS,FABRICS,86.09
Oceania,Australia,safflower,2006/07/30,Lst_METALS,oxygen,48.32
Oceania,Kiribati,safflower,2011/05/12,Lst_METALS,helium,68.15
Oceania,Solomon Islands,Rice,2018/11/28,Lst_METALS,steel,39.07
Africa,Western Sahara,Palm oil,2019/05/01,Lst_BUILDING_MATERIALS,sand,49.73
Americas,Haiti,iron,2005/12/31,Lst_OTHER_MATERIALS,soil,62.83
Africa,Libya,Corn,2009/05/02,Lst_FABRICS,FABRICS,76.22
Americas,Jamaica,bronze  ,2002/04/22,Lst_METALS,oxygen,57.26
Oceania,New Caledonia,Provitamins,2003/08/19,Lst_FABRICS,FABRICS,62.02
Americas,Turks and Caicos Islands,magnesium ,2004/03/05,Lst_METALS,alloy,43.93
Africa,Senegal,copper,2019/11/02,Lst_METALS,gold,79.64
Europe,Slovenia,Chocolate,2018/08/22,Lst_METALS,uranium,63.99
Americas,"Bonaire, Sint Eustatius and Saba",fish,2019/10/01,Lst_METALS,nitrogen,68.56
Asia,Afghanistan,safflower,2000/03/03,Lst_FABRICS,man-made fibres,39.37
Americas,El Salvador,mercury,2012/10/18,Lst_OTHER_MATERIALS,paper,66.81
Oceania,Pitcairn,iron,2014/07/03,Lst_METALS,steel,52.17
Oceania,Tokelau,Jewelry,2013/06/04,Lst_BUILDING_MATERIALS,glass,59.02
Oceania,Australia,Chocolate,2009/02/11,Lst_FABRICS,nylon,67.23
Americas,Falkland Islands (Malvinas),magnesium ,2006/09/08,Lst_OTHER_MATERIALS,coal,98.68
Asia,"Taiwan, Province of China",Jerseys,2008/06/27,Lst_OTHER_MATERIALS,steam,79.38
Asia,Indonesia,T-shirts,2002/08/11,Lst_METALS,bronze,91.75
Africa,Botswana,Rice,2002/05/03,Lst_FABRICS,linen,59.55
Asia,Bangladesh,Coffee,2017/10/13,Lst_METALS,lead,73.88
