Continent,Country,Product,Date,Materials,Product,Volume
Africa,"Tanzania, United Republic of",T-shirts,2004/11/29,Lst_FABRICS,man-made fibres,67.46
Asia,Iraq,Jerseys,2002/02/19,Lst_FABRICS,lace,43.61
Americas,Martinique,Sugar ,2011/10/23,Lst_OTHER_MATERIALS,cardboard,39.26
Americas,Aruba,iron,2018/03/20,Lst_FABRICS,cloth,59.79
Oceania,Tokelau,fish,2018/12/20,Lst_BUILDING_MATERIALS,concrete,85.54
Europe,Guernsey,Caps,2015/06/08,Lst_BUILDING_MATERIALS,wood,92.22
Oceania,New Caledonia,bronze  ,2002/12/04,Lst_OTHER_MATERIALS,chalk,81.54
Oceania,Palau,iron,2017/02/12,Lst_BUILDING_MATERIALS,stone,62.19
Asia,Indonesia,Silver ,2010/09/11,Lst_METALS,oxygen,37.05
Europe,Finland,Jewelry,2004/03/19,Lst_BUILDING_MATERIALS,plastic,61.72
Oceania,American Samoa,Caps,2010/12/16,Lst_FABRICS,wool,95.42
Africa,Mozambique,Gold,2009/01/12,Lst_METALS,aluminium,56.29
Americas,Sint Maarten (Dutch part),Diamonds,2017/10/17,Lst_METALS,brass,39.82
Americas,Peru,Palm oil,2013/08/29,Lst_OTHER_MATERIALS,paraffin,96.26
Oceania,Guam,Antibiotics ,2017/04/28,Lst_FABRICS,polyester,60.63
Oceania,New Caledonia,Alcohol  ,2015/04/16,Lst_BUILDING_MATERIALS,stone,89.88
Africa,Rwanda,iron,2012/12/18,Lst_BUILDING_MATERIALS,cement,48.81
Americas,Nicaragua,Meat,2005/03/26,Lst_FABRICS,silk,88.75
Africa,Ethiopia,magnesium ,2011/01/29,Lst_FABRICS,nylon,39.39
Asia,Jordan,Beans,2008/02/17,Lst_OTHER_MATERIALS,asbestos,67.74
Africa,R̩union,bronze  ,2003/02/14,Lst_OTHER_MATERIALS,dust,86.93
Americas,Cura̤ao,Chocolate,2008/06/29,Lst_BUILDING_MATERIALS,cement,33.01
Europe,Sweden,fish,2015/01/18,Lst_OTHER_MATERIALS,petrol,83.39
